NAMA KABUPATEN,JUMLAH RUMAH SAKIT,JUMLAH PUSKESMAS,JUMLAH POSYANDU,JUMLAH APOTEK,JUMLAH KLINIK,TAHUN
KABUPATEN BOGOR,30,377,3009,371,14,2022
KABUPATEN SUKABUMI,9,329,3233,141,5,2022
KABUPATEN CIANJUR,5,209,2838,227,8,2022
KABUPATEN BANDUNG,15,188,4010,213,15,2022
KABUPATEN GARUT,7,202,3546,224,9,2022
KABUPATEN TASIKMALAYA,2,203,2023,0,3,2022
KABUPATEN CIAMIS,6,35,1504,220,0,2022
KABUPATEN KUNINGAN,12,141,1340,166,10,2022
KABUPATEN CIREBON,12,216,1915,284,18,2022
KABUPATEN MAJALENGKA,5,165,886,157,10,2022
KABUPATEN SUMEDANG,3,101,1410,194,0,2022
KABUPATEN INDRAMAYU,12,31,1863,0,0,2022
KABUPATEN SUBANG,11,114,1460,214,9,2022
KABUPATEN PURWAKARTA,11,72,736,126,15,2022
KABUPATEN KARAWANG,26,167,1803,316,98,2022
KABUPATEN BEKASI,53,185,1466,185,17,2022
KABUPATEN BANDUNG BARAT,11,81,2057,149,7,2022
KABUPATEN PANGANDARAN,1,44,493,70,2,2022
KOTA BOGOR,22,56,952,165,22,2022
KOTA SUKABUMI,6,33,445,0,5,2022
KOTA BANDUNG,39,113,1749,0,131,2022
KOTA CIREBON,11,31,303,114,17,2022
KOTA BEKASI,47,48,1357,708,70,2022
KOTA DEPOK,26,38,1030,307,54,2022
KOTA CIMAHI,8,15,391,86,9,2022
KOTA TASIKMALAYA,14,22,658,0,7,2022
KOTA BANJAR,4,27,196,46,8,2022
